snack_id	name	image	flavor	type_id
80	Lay's 레이즈 클래식 포테이토 칩 개별포장 1oz(28.3g) 50개입 Classic Potato Chips	https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/4b5b/171be91c56f4a75c65d9853b3386fbd9fe574c6a5c2460dc65fe30387d00.jpg	짭짤한맛	감자과자
81	예감 오리지널	https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/fbf6/9596dbf83e0625fbe8137e48c014e98a9bbf2ec0d994687ec37182b30010.jpg	짭짤한맛	감자과자
82	예감 치즈그라탕	https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/41de/fdea5cb6d2dfa2514317a25807d95f753ce6e9040b83829a09fd53f4ab8a.jpg	짭짤한맛	감자과자
83	발스낵 그랜드 감자칩 씨솔트	https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/09/01/13/7/d43695c4-cb71-4807-8cba-149636f2a4fd.png	짭짤한맛	감자과자
84	감자알칩 27gx20봉 알 감자칩 감자 과자 스낵	https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/b633/45004910f5a7b4fd12d92ee9296b7cf98e1da13ea1928ac4174bbe50622f.jpg	짭짤한맛	감자과자
85	오리온 포카칩 오리지널	https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/a859/e9c9cee5015c7109cbca39eb54c044f3a3aecdb3a3344e526d56c4739898.jpg	짭짤한맛	감자과자
86	오리온 무뚝뚝감자칩 통후추 소금맛	https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/ba99/9b1cb54acf1d87e2657e788d7f791fc7b9b3a926a4be7f5d9039e7460ead.jpg	짭짤한맛	감자과자
87	아미카 엘도라다 올리브오일 감자칩	https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/13178428960835258-7b3f9925-37ef-4d2d-a78f-204484f16b01.jpg	짭짤한맛	감자과자
88	오리온 무뚝뚝감자칩 통후추 소금맛	https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/641030105022844-3de23ec2-b9d3-4629-9109-043763d2a4e3.jpg	짭짤한맛	감자과자
89	아미카 엘도라다 올리브오일 감자칩	https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/15150475456645888-6939432a-7afb-403f-b5e4-8830f5ff72dd.jpg	짭짤한맛	감자과자
